365,261,82,318
385,255,97,299
385,263,66,269
385,252,105,330
389,270,76,276
384,252,93,334
383,259,52,302
472,314,82,239
500,382,114,246
500,370,109,247
498,415,116,250
457,533,120,187
469,587,87,133
473,574,99,146
461,535,121,185
442,436,135,284
445,295,59,330
495,345,80,323
501,318,106,332
526,378,124,322
494,301,165,333
484,288,90,347
499,325,166,341
627,500,159,220
832,669,38,51
889,697,16,23
710,397,136,228
738,174,109,231
736,133,145,247
666,112,165,261
608,107,155,244
577,68,161,257
565,56,166,242
559,94,173,193
584,111,145,106
551,107,189,69
569,52,240,122
475,162,322,107
389,239,368,104
339,239,376,156
319,235,403,203
335,232,402,245
376,246,326,276
391,313,313,259
345,480,340,91
323,522,364,92
294,510,446,144
273,458,511,201
342,415,491,149
291,390,576,69
145,294,744,262
52,305,834,168
92,338,714,142
1,301,760,241
466,371,279,162
460,365,294,176
500,358,297,125
506,364,307,108
578,387,256,87
589,380,207,68
