658,356,113,101
657,361,87,96
631,366,102,96
559,390,166,99
505,415,116,90
465,427,100,90
435,454,96,85
424,473,67,81
418,474,51,80
412,461,66,89
423,452,62,87
427,467,61,69
429,463,65,73
444,435,54,84
470,402,23,73
473,371,20,62
474,359,29,61
475,360,27,61
477,359,26,65
459,354,92,70
447,345,128,77
463,338,141,75
500,334,127,74
563,323,108,72
606,312,101,76
626,302,104,76
635,291,107,88
679,273,62,96
690,228,44,115
671,207,63,103
638,184,99,97
609,173,98,81
588,171,69,38
0,0,0,0
497,184,131,75
444,196,135,80
391,222,162,104
360,259,159,110
342,292,131,106
359,339,42,78
349,334,62,84
364,331,60,81
377,333,72,83
380,345,110,75
401,346,117,73
426,337,148,75
466,312,138,94
521,286,132,83
551,264,135,81
598,248,130,73
625,229,137,78
700,202,106,75
742,181,98,77
758,171,89,80
764,169,88,84
770,157,135,76
791,146,142,78
799,139,143,75
810,139,133,73
813,129,141,81
815,149,127,54
0,0,0,0
893,125,81,73
902,85,67,89
934,62,41,81
934,45,34,79
924,23,33,92
911,9,36,93
905,5,37,95
836,4,118,84
779,4,165,67
725,1,173,60
690,4,160,67
652,12,163,70
617,28,147,71
565,50,126,67
525,59,45,127
478,205,40,106
486,290,36,93
411,299,141,109
382,309,193,114
372,308,207,114
344,316,192,102
304,324,154,99
312,338,99,105
307,373,56,104
298,401,65,101
314,426,57,97
300,450,127,90
334,464,133,78
378,457,128,79
405,436,156,91
444,420,160,92
472,406,170,91
504,388,165,95
526,373,163,96
544,362,167,90
602,343,167,84
652,335,166,74
688,313,138,70
693,302,167,86
691,288,187,99
731,293,170,77
774,290,176,79
792,287,172,92
853,285,109,92
900,273,62,91
923,249,41,93
914,221,43,97
886,200,64,111
870,184,83,112
844,165,72,114
794,154,101,113
756,155,152,112
726,150,154,117
650,171,161,122
625,212,133,60
557,255,81,105
551,279,54,97
520,300,81,94
525,296,74,117
490,307,161,93
515,304,190,86
584,287,185,88
637,282,177,88
668,275,187,97
696,262,177,82
724,240,168,98
756,224,141,87
833,199,64,82
831,177,80,106
854,151,70,104
875,133,43,59
835,120,93,81
776,117,188,83
747,123,133,84
721,124,108,87
691,137,103,89
645,148,123,88
580,187,165,97
532,214,189,97
501,245,163,92
468,269,143,103
409,300,162,104
