233,457,74,49
187,468,100,51
165,477,103,52
127,484,134,56
64,482,185,68
40,479,214,70
11,463,247,73
1,449,266,80
1,450,266,84
1,460,271,93
1,474,267,76
67,484,238,95
13,508,318,112
8,528,342,116
72,537,290,118
99,542,276,110
96,544,290,114
85,543,309,117
63,535,332,119
25,529,367,127
1,521,388,130
1,511,386,124
1,506,405,135
50,498,373,130
178,500,289,137
250,505,260,140
317,506,208,128
453,511,123,109
493,526,120,98
587,540,78,88
602,547,90,78
642,555,77,73
666,566,68,62
676,578,74,63
690,600,74,52
689,619,75,62
675,643,83,75
668,665,83,56
672,661,80,54
682,655,77,65
690,652,72,64
698,652,72,66
709,648,70,60
726,640,69,52
743,629,68,57
766,618,65,46
782,611,63,41
792,606,63,35
808,606,59,35
818,611,56,40
825,617,53,39
828,624,49,37
824,628,47,39
822,631,43,39
817,633,41,39
817,629,40,39
819,624,41,41
816,615,42,38
813,605,43,42
813,597,46,41
