544,472,10,16
0,0,0,0
335,340,15,14
229,268,13,10
154,237,13,8
97,227,12,8
54,240,11,8
20,274,11,10
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
83,382,8,9
109,375,10,8
150,355,11,8
186,357,11,8
213,368,12,7
227,378,9,9
240,386,9,9
268,381,9,9
287,387,10,8
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
340,417,10,7
345,422,8,7
356,430,10,10
362,436,9,9
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
413,439,10,10
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
325,364,8,7
327,357,7,7
328,350,8,6
331,343,10,7
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
187,362,8,7
165,374,8,7
158,384,9,5
164,391,8,6
171,401,8,9
180,412,11,10
174,398,7,9
185,402,7,8
195,399,11,9
196,403,7,8
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
673,453,14,13
0,0,0,0
275,381,9,11
302,379,13,9
324,366,11,11
337,357,9,8
344,356,8,6
355,356,8,10
367,367,7,10
368,377,8,10
363,371,9,8
0,0,0,0
380,369,9,8
389,366,10,12
392,365,9,11
388,365,10,10
384,367,9,11
379,366,9,11
375,368,9,6
377,365,7,10
378,363,9,11
376,357,9,15
371,358,8,11
367,362,8,6
368,363,6,8
0,0,0,0
0,0,0,0
0,0,0,0
401,362,10,7
413,353,10,9
425,343,8,8
431,334,9,8
432,338,11,8
0,0,0,0
0,0,0,0
465,353,7,10
488,350,7,7
500,342,8,9
501,349,7,7
493,360,7,7
0,0,0,0
0,0,0,0
0,0,0,0
464,361,6,9
463,358,7,8
455,366,10,9
451,375,7,8
444,389,9,7
430,395,8,9
0,0,0,0
0,0,0,0
424,402,9,8
445,403,11,9
455,391,11,12
457,378,7,7
460,370,9,10
464,373,9,8
469,382,10,9
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
458,369,9,7
447,370,9,6
444,372,10,10
445,372,11,9
443,372,8,6
0,0,0,0
0,0,0,0
0,0,0,0
428,369,11,7
428,373,10,6
0,0,0,0
0,0,0,0
426,372,7,10
423,375,8,8
428,373,6,6
427,368,7,7
420,376,7,8
414,377,6,5
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
426,357,9,8
425,359,10,6
428,363,8,11
425,374,9,10
0,0,0,0
0,0,0,0
403,382,11,6
397,377,10,9
390,375,9,6
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
383,399,13,6
388,398,9,8
390,398,9,7
386,399,9,6
379,402,9,6
375,402,6,6
367,404,9,7
364,404,7,9
364,408,8,8
369,413,7,11
373,421,9,10
386,421,8,6
392,419,13,8
399,416,13,8
399,415,11,9
403,424,11,7
413,428,10,8
422,423,9,8
424,412,9,11
422,406,9,10
418,401,11,10
419,400,10,9
466,385,12,11
560,365,11,9
627,374,12,10
681,400,16,10
729,440,13,12
709,405,11,11
692,393,10,11
676,402,11,11
657,433,11,10
660,445,13,9
683,406,13,13
