367,411,26,16
346,406,29,26
357,402,26,33
381,400,26,32
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
586,312,17,20
585,304,21,34
571,313,20,31
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
570,258,29,31
567,262,25,33
557,279,20,24
553,297,20,21
554,316,38,19
549,346,37,17
0,0,0,0
0,0,0,0
613,392,29,22
677,390,22,21
726,398,29,27
774,412,37,23
824,430,34,21
838,451,37,33
824,478,30,36
780,486,30,34
735,486,19,25
712,456,34,32
713,432,34,38
721,407,41,34
735,378,45,31
737,355,48,24
728,340,50,25
702,330,54,23
691,300,60,48
690,297,58,40
688,293,61,45
693,293,65,42
709,303,66,35
732,313,70,45
